Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - ANNEMASSE;46.19585,6.2405605;PM10;EEA France;µg/m³;14.0;2017-05-25T12:00:00+02:00;Annemasse;CA Annemasse-les Voirons-Agglomération;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - CHAMBERY LE HAUT;45.596676,5.918613;PM10;EEA France;µg/m³;9.5;2017-05-25T12:00:00+02:00;Chambéry;CA du Grand Chambéry;SAVOIE;AUVERGNE-RHONE-ALPES
AIR PACA;France - AIR PACA - Chateauneuf;43.386974,5.160282;SO2;EEA France;µg/m³;5.75;2017-03-28T18:00:00+02:00;Châteauneuf-les-Martigues;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
ATMO CHAMPAGNE-ARDENNE;France - ATMO CHAMPAGNE-ARDENNE - DOUMER;49.250713,4.0230603;PM10;EEA France;µg/m³;19.98;2017-04-13T18:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Ecole Jules Ferry;46.329563,-0.4588891;PM2.5;EEA France;µg/m³;9.5;2017-05-25T12:00:00+02:00;Niort;CA du Niortais;DEUX-SEVRES;NOUVELLE-AQUITAINE
Var;France - Var - FR03067;43.398724,6.0761056;PM10;EEA France;µg/m³;7.9;2020-04-28T19:00:00+02:00;Brignoles;CA de la Provence Verte;VAR;PROVENCE-ALPES-COTE D'AZUR
Var;France - Var - FR03071;43.131046,5.924237;O3;EEA France;µg/m³;856.5;2020-04-28T20:00:00+02:00;Toulon;Métropole Toulon-Provence-Méditerranée;VAR;PROVENCE-ALPES-COTE D'AZUR
Paris;France - Paris - FR04031;48.868866,2.3119402;PM10;EEA France;µg/m³;16.9;2020-04-28T19:00:00+02:00;Paris;Métropole du Grand Paris;PARIS;ILE-DE-FRANCE
Allier;France - Allier - FR07022;46.652645,3.6006632;O3;EEA France;µg/m³;82.4;2020-04-28T19:00:00+02:00;Paray-le-Frésil;CA Moulins Communauté;ALLIER;AUVERGNE-RHONE-ALPES
Hérault;France - Hérault - FR08023;43.40682,3.1888037;O3;EEA France;µg/m³;91.5;2020-04-28T19:00:00+02:00;Corneilhan;CA de Béziers-Méditerranée;HERAULT;OCCITANIE
Gard;France - Gard - FR08614;43.834393,4.3742204;PM10;EEA France;µg/m³;23.9;2020-04-28T17:00:00+02:00;Nîmes;CA de Nîmes Métropole;GARD;OCCITANIE
Haute-Garonne;France - Haute-Garonne - FR12054;43.64306,1.4676496;PM2.5;EEA France;µg/m³;1.3;2020-04-28T19:00:00+02:00;Toulouse;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
Marne;France - Marne - FR14004;49.25861,4.031111;NO2;EEA France;µg/m³;46.5;2018-03-28T10:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
Isère;France - Isère - FR15038;45.182827,5.7530985;PM10;EEA France;µg/m³;10.5;2020-03-09T15:00:00+01:00;Saint-Martin-d'Hères;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
Isère;France - Isère - FR15043;45.16193,5.7355995;NO2;EEA France;µg/m³;5.7;2020-04-28T19:00:00+02:00;Grenoble;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
Rhône;France - Rhône - FR20017;45.735287,4.829792;PM10;EEA France;µg/m³;0.5;2020-04-28T19:00:00+02:00;Lyon;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
Calvados;France - Calvados - FR21016;49.17525,-0.35361102;CO;EEA France;µg/m³;30.5;2017-12-31T19:00:00+01:00;Caen;CU Caen la Mer;CALVADOS;NORMANDIE
Calvados;France - Calvados - FR21021;49.14723,0.22722167;O3;EEA France;µg/m³;76.8;2020-04-28T20:00:00+02:00;Lisieux;CA Lisieux Normandie;CALVADOS;NORMANDIE
ATMO GRAND EST;France - ATMO GRAND EST - Rempart Perrier;49.046116,3.955911;PM10;EEA France;µg/m³;21.2;2017-05-27T11:00:00+02:00;Épernay;CA Épernay, Coteaux et Plaine de Champagne;MARNE;GRAND EST
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - SOURCES;47.97105,0.22142214;PM2.5;EEA France;µg/m³;11.03;2017-05-25T12:00:00+02:00;Le Mans;CU Le Mans Métropole;SARTHE;PAYS DE LA LOIRE
GWAD'AIR;France - GWAD'AIR - ST de Pointe O Pitre;16.238682,-61.5381;O3;EEA France;µg/m³;34.13;2017-07-18T00:00:00+02:00;Pointe-à-Pitre;CA Cap Excellence;GUADELOUPE;GUADELOUPE
ATMO GRAND EST;France - ATMO GRAND EST - STG Clemenceau;48.59043,7.744987;PM10;EEA France;µg/m³;27.3;2017-05-25T12:00:00+02:00;Strasbourg;Eurométropole de Strasbourg;BAS-RHIN;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Square Pablo Casals;45.647438,0.16716659;PM2.5;EEA France;µg/m³;9.75;2017-07-18T22:00:00+02:00;Angoulême;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - St Omer Ribot;50.748238,2.259784;SO2;EEA France;µg/m³;3.95;2016-12-05T02:00:00+01:00;Saint-Omer;CA du Pays de Saint-Omer;PAS-DE-CALAIS;HAUTS-DE-FRANCE
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Station PEJOCES;47.30804,5.066112;PM10;EEA France;µg/m³;14.68;2017-05-25T12:00:00+02:00;Dijon;Dijon Métropole;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Station TREMOUILLE;47.340252,5.0583324;PM10;EEA France;µg/m³;4.78;2017-07-17T20:00:00+02:00;Dijon;Dijon Métropole;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
AIR LORRAINE;France - AIR LORRAINE - Thionville-Centre;49.358315,6.156945;NO2;EEA France;µg/m³;10.65;2017-05-25T11:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
AIR RHONE ALPES;France - AIR RHONE ALPES - Valence Urb. Centre;44.93351,4.8934827;O3;EEA France;µg/m³;138.73;2017-07-17T20:00:00+02:00;Valence;CA Valence Romans Agglo;DROME;AUVERGNE-RHONE-ALPES
AIR RHONE ALPES;France - AIR RHONE ALPES - Vienne Centre;45.52598,4.8754086;PM10;EEA France;µg/m³;53.75;2016-12-05T02:00:00+01:00;Vienne;CA Vienne Condrieu;ISERE;AUVERGNE-RHONE-ALPES
Doubs;France - Doubs - FR82005;47.234592,6.076474;O3;EEA France;µg/m³;62.8;2020-04-28T19:00:00+02:00;Montfaucon;CA du Grand Besançon;DOUBS;BOURGOGNE-FRANCHE-COMTE
Territoire de Belfort;France - Territoire de Belfort - FR82020;47.64066,6.859275;NO2;EEA France;µg/m³;8.5;2020-04-28T19:00:00+02:00;Belfort;CA Grand Belfort;TERRITOIRE DE BELFORT;BOURGOGNE-FRANCHE-COMTE
AIR LORRAINE;France - AIR LORRAINE - Fléville;48.6215,6.194926;NO2;EEA France;µg/m³;30.83;2016-12-05T18:00:00+01:00;Fléville-devant-Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - GERLAND;45.735287,4.829792;O3;EEA France;µg/m³;119.45;2017-07-17T20:00:00+02:00;Lyon;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
